###Data from Shannon+2024: astro-ph/2408.02083v2
# Selected columns from Tables 1 & 2
# Removed sources with no redshift
# Commented out repeaters
####
# Luminosity distances estimated from redshift using astropy
#
#Name	Freq(MHz)	Width(ms)	Fluence	Flux (F/W)	Redshift	Distance (Mpc)
20180924B	1297.5	2.6	18.4	7.076923077	0.3214	1703.343219
20181112A	1297.5	3.5	28	8	0.4755	2705.717579
20190102C	1271.5	2.6	16	6.153846154	0.2912	1519.394516
20190608B	1271.5	8.6	28	3.255813953	0.1178	554.6976251
20190611B	1271.5	3.5	10	2.857142857	0.3778	2058.272654
#20190711A	1271.5	10.4	36	3.461538462	0.522	3027.249753
20190714A	1271.5	3.5	13	3.714285714	0.2365	1197.685377
20191001A	920.5	10.4	120	11.53846154	0.234	1183.347699
20191228A	1271.5	17.3	67	3.87283237	0.2432	1236.270982
20200430A	863.5	13.8	35	2.536231884	0.1608	778.4577247
20200906A	863.5	5.2	53	10.19230769	0.3688	2000.670532
20210117A	1271.5	5.9	36	6.101694915	0.2145	1072.64449
20210320C	863.5	6.9	59	8.550724638	0.2797	1450.511687
20210807D	920.5	17.7	100	5.649717514	0.1293	613.478012
20211127I	1271.5	3.5	35	10	0.0469	210.1806868
20211203C	920.5	16.5	30	1.818181818	0.3439	1843.195515
20211212A	1631.5	5.9	131	22.20338983	0.0707	322.3253144
20220105A	1631.5	5.9	19	3.220338983	0.2785	1443.361541
20220501C	864.5	9.5	32	3.368421053	0.381	2078.839549
20220610A	1271.5	8.3	47	5.662650602	1.016	6860.032434
20220725A	920.5	8.3	72	8.674698795	0.1926	950.7474452
20220918A	1271.5	9.5	55	5.789473684	0.491	2811.979761
20221106A	1631.5	8.3	80	9.638554217	0.2044	1016.103847
20230526A	1271.5	4.7	34	7.234042553	0.157	758.2512396
20230708A	920.5	23.6	111	4.703389831	0.105	490.2039786
20230718A	1271.5	3.5	14	4	0.035	155.4763743
20230902A	832.5	5.9	23	3.898305085	0.3619	1956.752864
20231226A	863.5	11.8	78	6.610169492	0.1569	757.7206052
20240201A	920.5	9.5	47	4.947368421	0.042729	190.9017564
20240210A	863.5	9.5	26	2.736842105	0.023686	104.3257652
20240310A	920.5	7.1	35	4.929577465	0.127	601.6590845
