#Values from Amiri et al. 2025: https://arxiv.org/abs/2502.11217
#Combined relevant values from Tables 1 and 2
#Two repeater bursts commented out below
#Name	Flux	Fluence	Duration (Fluence / Flux)	Redshift	Distance (Mpc)
20230203A	6.2	173	27.90322581	0.1464	702.3240038
20230222A	4.5	129.2	28.71111111	0.1223	577.6049193
20230222B	91.3	37.5	0.4107338445	0.11	515.2791751
20230311A	9.5	12.2	1.284210526	0.1918	946.3440879
20230703A	9.4	8.4	0.8936170213	0.1184	557.7449401
20230730A	43.9	37.1	0.8451025057	0.2115	1055.792886
20230926A	26.8	28.4	1.059701493	0.0553	249.3475871
20231005A	221.2	60	0.2712477396	0.0713	325.1990264
20231011A	129.5	58.3	0.4501930502	0.0783	358.8928749
20231017A	33.6	8.2	0.244047619	0.245	1246.676962
20231025B	6	5.2	0.8666666667	0.3238	1718.148203
20231123A	52.7	56.8	1.077798861	0.0729	332.8733433
#20231128A	2.8	67.7	24.17857143	0.1079	504.7291561
20231201A	35.1	10.8	0.3076923077	0.1119	524.8473794
#20231204A	4.7	25.5	5.425531915	0.0644	292.2886519
20231206A	9.9	179.4	18.12121212	0.0659	299.4174506
20231223C	68.1	287.2	4.21732746	0.1059	494.7063348
20231229A	211.2	95.5	0.4521780303	0.019	83.38821278
20231230A	6.6	37.1	5.621212121	0.0298	131.8624588
