# PSRCAT 2.5.1
# Downloaded by Leon Houben in February 2025
#--------------------------------------------------------------------------------
#NAME               W50     S1400      DIST                C1                C2  
#                  (ms)     (mJy)     (kpc)                                      
#--------------------------------------------------------------------------------
B0011+47        88.700      3.00     1.776           0.12418       0.009462528  
B0021-72C        0.664      0.52     4.520         0.0009296        0.01062381  
B0021-72D        0.303      0.35     4.520         0.0004242        0.00715064  
B0021-72J        0.209      0.44     4.520         0.0002926       0.008989376  
B0031-07        53.000     11.00     1.030            0.0742         0.0116699  
B0037+56        12.200      0.60     2.420           0.01708        0.00351384  
B0052+51        73.000      1.50     2.800            0.1022           0.01176  
B0059+65        89.700      1.20     2.500           0.12558            0.0075  
B0105+65        22.500      0.90     2.140            0.0315        0.00412164  
B0105+68        12.000      0.40     1.981            0.0168       0.001569744  
B0114+58         4.100      0.30     1.768           0.00574      0.0009377472  
B0136+57         5.200      4.60     2.600           0.00728          0.031096  
B0138+59        34.900      4.50     2.300           0.04886          0.023805  
B0144+59         7.000      2.10     1.900            0.0098          0.007581  
B0148-06       122.000      1.60    25.000            0.1708                 1  
B0149-16        16.000      2.10     0.920            0.0224        0.00177744  
B0154+61        33.400      1.90     1.820           0.04676        0.00629356  
B0203-40         6.200      0.80     1.260           0.00868        0.00127008  
B0226+70        34.000      0.30     1.755            0.0476      0.0009240075  
B0254-53         7.400      5.00     1.514           0.01036        0.01146098  
B0301+19        48.100     15.00     0.739           0.06734       0.008191815  
B0320+39        42.700      0.90     0.940           0.05978        0.00079524  
B0329+54         6.600    203.00     1.680           0.00924         0.5729472  
B0331+45         2.400      0.80     2.410           0.00336        0.00464648  
B0339+53        44.900      0.30     1.705           0.06286      0.0008721075  
B0353+52        12.500      1.90     2.900            0.0175          0.015979  
B0355+54         4.500     23.00     1.000            0.0063             0.023  
B0402+61        18.400      2.80     4.200           0.02576          0.049392  
B0403-76        21.000      3.80     1.014            0.0294       0.003907145  
B0410+69         4.400      0.50     1.367           0.00616      0.0009343445  
B0447-12        23.000      1.20     1.774            0.0322       0.003776491  
B0450+55        18.000     13.00     1.180            0.0252         0.0181012  
B0450-18        27.000     17.00     0.400            0.0378           0.00272  
B0456-69         2.800      0.08    49.700           0.00392         0.2050175  
B0458+46        10.700      2.50     2.700           0.01498          0.018225  
B0523+11        14.700      1.94     1.841           0.02058       0.006575205  
B0525+21        64.000      8.90     1.215            0.0896         0.0131384  
B0529-66        22.000      0.21    49.700            0.0308         0.5261292  
B0531+21         2.000     14.00     2.000            0.0028             0.056  
B0538-75        60.000      8.70     0.143             0.084      0.0001779063  
B0540+23         6.900     10.70     1.565           0.00966        0.02620671  
B0540-69        16.980      0.10    49.700          0.023772          0.247009  
B0559-05        17.000      2.60     2.060            0.0238        0.01103336  
B0609+37         6.300      4.00     0.534           0.00882       0.001140624  
B0611+22        11.000      3.30     3.500            0.0154          0.040425  
B0621-04         5.100      1.40     1.938           0.00714       0.005258182  
B0626+24         8.400      3.20     2.900           0.01176          0.026912  
B0628-28        63.000     32.00     0.320            0.0882         0.0032768  
B0643+80        13.900      0.40     2.348           0.01946       0.002205242  
B0655+64         6.000      0.30     0.413            0.0084       5.11707e-05  
B0656+14        13.900      2.70     0.286           0.01946      0.0002208492  
B0727-18        14.000      1.90     2.000            0.0196            0.0076  
B0736-40        25.000    112.60     1.600             0.035          0.288256  
B0740-28         4.400     26.00     2.000           0.00616             0.104  
B0743-53        10.700      5.00     0.565           0.01498       0.001596125  
B0751+32        30.300      0.60     1.464           0.04242       0.001285978  
B0756-15         7.300      2.60     2.710           0.01022        0.01909466  
B0808-47         8.500      2.60     6.488            0.0119         0.1094448  
B0809+74        41.400     10.00     0.432           0.05796        0.00186624  
B0818-13        23.000      6.00     1.900            0.0322           0.02166  
B0818-41       141.000      5.00     0.571            0.1974       0.001630205  
B0820+02        22.400      4.00     2.700           0.03136           0.02916  
B0823+26         8.000     10.00     0.500            0.0112            0.0025  
B0826-34       113.000      0.25     0.354            0.1582        3.1329e-05  
B0833-45         1.700   1050.00     0.280           0.00238           0.08232  
B0834+06        26.000      5.00     0.190            0.0364         0.0001805  
